,0
456,0.03590354
457,0.042022765
458,0.03856244
459,0.04869779
460,0.05289585
461,0.069066726
462,0.08527453
463,0.08943263
464,0.123918824
465,0.13651596
466,0.18852307
467,0.21137261
468,0.22734922
469,0.27589652
470,0.32172716
471,0.38025033
472,0.46131688
473,0.5696518
474,0.664044
475,0.7963378
476,0.7391191
477,0.6752051
478,0.6466196
479,0.62066346
480,0.60191715
481,0.53295064
482,0.45223168
483,0.43723017
484,0.3801682
485,0.3380933
486,0.29280353
487,0.25827867
488,0.24645801
489,0.20053977
490,0.17941996
491,0.13880782
492,0.12795998
493,0.11498291
494,0.12153928
495,0.11061981
496,0.08281472
497,0.069024816
498,0.023474863
499,0.015133069
500,0.012275385
501,0.013929171
502,0.009474004
503,0.008831864
504,0.0067481063
505,0.008813446
506,0.008173103
507,0.009814374
508,0.009359451
509,0.009285458
510,0.011679551
511,0.014055206
512,0.012283146
513,0.012952035
514,0.012254059
515,0.008228774
516,0.008462242
517,0.009211108
518,0.013014444
519,0.009707557
520,0.0121289175
521,0.008882925
522,0.0082812365
523,0.006921318
524,0.006688602
525,0.0077014696
526,0.008283673
527,0.0035619522
528,0.004057784
529,0.0035908432
530,0.005332105
531,0.004828524
532,0.005055106
533,0.005015377
534,0.0057518296
535,0.006814481
536,0.0066936524
537,0.007111763
538,0.005695354
539,0.00925347
540,0.0050440957
541,0.0060170568
542,0.008619158
543,0.010156878
544,0.008573851
545,0.010183586
546,0.008766201
547,0.0092315525
548,0.0077476096
549,0.007979455
550,0.00582951
551,0.0066428604
552,0.007673526
553,0.010063648
554,0.007518939
555,0.010496374
556,0.007676832
557,0.010366948
558,0.0067132073
559,0.0065129804
560,0.0066637266
561,0.0069982894
562,0.006747155
563,0.009408858
564,0.0068116914
565,0.007494201
566,0.0076566343
567,0.0044360943
568,0.00427713
569,0.00381083
570,0.0036086903
571,0.0035500755
572,0.0046573593
573,0.005631811
574,0.0056857727
575,0.007917816
576,0.009247472
577,0.009574889
578,0.010513357
579,0.009522769
580,0.014088492
581,0.008167015
582,0.0057276054
583,0.0055258325
584,0.0047753337
585,0.0048058345
586,0.008623917
587,0.008782127
588,0.009594918
589,0.008269475
590,0.009633597
591,0.008270335
592,0.007257506
593,0.0071920347
594,0.0072362893
595,0.007331938
596,0.005374973
597,0.004221001
598,0.004970518
599,0.009430968
600,0.0061183837
601,0.005635002
602,0.0052026086
603,0.0058085867
604,0.0046069445
605,0.0046166983
606,0.006074925
607,0.0067372415
608,0.007869815
609,0.011482556
610,0.008785519
611,0.009799817
612,0.012825158
613,0.0152201
614,0.017114626
615,0.016275378
616,0.014978445
617,0.013611041
618,0.012517898
619,0.01664354
620,0.017075859
621,0.018014446
622,0.016009133
623,0.020665102
624,0.032327287
625,0.02145651
626,0.020070026
627,0.01925891
628,0.029610965
629,0.02731589
630,0.020708721
631,0.019855365
632,0.025149137
633,0.02260723
634,0.034567524
635,0.028909722
636,0.021329504
637,0.02160176
638,0.0213043
639,0.020488929
640,0.021067953
641,0.013259567
642,0.011686902
643,0.014484329
644,0.0135131655
645,0.013880698
646,0.012175549
647,0.011809566
648,0.011032822
649,0.009876139
650,0.009399683
